% Model:              emptyRoomFreq_itteratePermandCond.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 5 2023, 21:01
% Table:              Table 5 - Point Evaluation 1
% freq (MHz)                                      Point average: Electric field norm (V/m)
73.86                                             1177.8632989335845
73.86040404040403                                 1177.8632989335845
73.86080808080808                                 1177.8632989335845
73.86121212121212                                 1234.609788197689
73.86161616161615                                 1234.609788197689
73.86202020202019                                 1298.3808706130867
73.86242424242423                                 1298.3808706130865
73.86282828282829                                 1359.886207609615
73.86323232323232                                 1359.886207609615
73.86363636363636                                 1419.1961458573567
73.86404040404041                                 1419.1961458573567
73.86444444444444                                 1483.6409879106163
73.86484848484848                                 1483.6409879106163
73.86525252525253                                 1556.9139544105035
73.86565656565655                                 1556.9139544105037
73.86606060606059                                 1639.30872532371
73.86646464646465                                 1639.301212509445
73.86686868686868                                 1730.5333364336611
73.86727272727273                                 1806.772631861721
73.86767676767677                                 1806.772631861721
73.8680808080808                                  1868.4605905026615
73.86848484848485                                 1946.175840421924
73.86888888888889                                 2029.2143580382028
73.86929292929293                                 2029.2143580382028
73.86969696969696                                 2159.4360827082764
73.870101010101                                   2159.4360827082764
73.87050505050505                                 2321.4130017562507
73.8709090909091                                  2321.4130017562507
73.87131313131313                                 2509.0477618936075
73.87171717171718                                 2509.0477618936075
73.87212121212121                                 2729.204390684448
73.87252525252525                                 2729.204390684448
73.8729292929293                                  2991.5822189915634
73.87333333333332                                 3047.2355295386647
73.87373737373736                                 3310.305092787582
73.87414141414142                                 3368.6288765105082
73.87454545454545                                 3701.3402053264613
73.87494949494949                                 3949.4552572035304
73.87535353535354                                 4207.708666283258
73.87575757575758                                 4510.647643040959
73.87616161616162                                 4862.95074054206
73.87656565656566                                 5273.917540493529
73.87696969696968                                 5759.420894120846
73.87737373737373                                 6341.630731560703
73.87777777777777                                 7082.474242273654
73.87818181818182                                 7989.64756632976
73.87858585858586                                 9160.782592062253
73.8789898989899                                  10729.995505415134
73.87939393939394                                 12936.726367539028
73.87979797979798                                 16252.094799004652
73.88020202020202                                 21898.662817285825
73.88060606060606                                 32833.17856454869
73.88101010101009                                 59034.58939538442
73.88141414141413                                 77519.1988472998
73.88181818181819                                 42081.4975642945
73.88222222222223                                 26016.703154895804
73.88262626262626                                 18500.19235628457
73.88303030303031                                 14322.986023686572
73.88343434343435                                 11717.778482344962
73.88383838383838                                 9821.783704123123
73.88424242424243                                 8489.44511368454
73.88464646464645                                 7474.616915843297
73.8850505050505                                  6674.724608499108
73.88545454545455                                 6121.122179724178
73.88585858585859                                 5507.839347586032
73.88626262626263                                 5031.6248081290605
73.88666666666667                                 4662.415464455903
73.8870707070707                                  4341.539634080017
73.88747474747476                                 4058.386955768694
73.88787878787879                                 3809.769235851108
73.88828282828283                                 3589.9962850560896
73.88868686868686                                 3394.118096119087
73.8890909090909                                  3336.0973790145727
73.88949494949496                                 3064.7110075884707
73.889898989899                                   3006.353622714101
73.89030303030303                                 2786.0211129895347
73.89070707070708                                 2786.0211129895347
73.89111111111112                                 2556.9856255493473
73.89151515151515                                 2556.9856255493473
73.8919191919192                                  2361.269914037049
73.89232323232322                                 2361.269914037049
73.89272727272726                                 2194.4671659531896
73.89313131313132                                 2194.4671659531896
73.89353535353536                                 2114.5025570697803
73.8939393939394                                  1984.1642194606256
73.89434343434344                                 1984.1642194606256
73.89474747474748                                 1912.825412642701
73.89515151515153                                 1828.2947751373447
73.89555555555556                                 1743.2057000730942
73.89595959595958                                 1743.2057000730942
73.89636363636363                                 1672.7049921970543
73.89676767676768                                 1672.7049921970543
73.89717171717172                                 1587.168749777085
73.89757575757577                                 1526.0730281647204
73.8979797979798                                  1526.0730281647204
73.89838383838385                                 1526.0730281647202
73.89878787878789                                 1454.4727625839469
73.89919191919192                                 1392.1969223174624
73.89959595959596                                 1392.1969223174624
73.89999999999999                                 1392.1969223174624
