% Model:              emptyRoomFreq_itteratePermandCond.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 5 2023, 17:54
% Table:              Table 5 - Point Evaluation 1
% freq (MHz)                                      Point average: Electric field norm (V/m)
73                                                29.84575006161859
73.01515151515152                                 29.84575006161859
73.03030303030303                                 30.837264717066578
73.04545454545455                                 31.125692876124116
73.06060606060606                                 31.922087575766433
73.07575757575758                                 32.214087183804274
73.0909090909091                                  33.0788347927235
73.10606060606061                                 33.38329250763912
73.12121212121212                                 34.330699675620814
73.13636363636364                                 34.64744079282772
73.15151515151516                                 35.68803053770604
73.16666666666667                                 36.0175500281067
73.18181818181819                                 37.16457137749441
73.1969696969697                                  37.50739810592914
73.21212121212122                                 38.77660790712031
73.22727272727273                                 39.65120442311459
73.24242424242425                                 40.54718339522074
73.25757575757575                                 41.49584990336716
73.27272727272727                                 42.49284446851521
73.28787878787878                                 43.54119897107196
73.3030303030303                                  44.645131535268185
73.31818181818181                                 45.80917164257654
73.33333333333333                                 47.038328429013646
73.34848484848484                                 48.338185550693495
73.36363636363636                                 49.7149833027691
73.37878787878788                                 51.17571713829554
73.39393939393939                                 52.728255366372046
73.4090909090909                                  54.38147952068157
73.42424242424242                                 56.14545264689097
73.43939393939394                                 58.03162222279016
73.45454545454545                                 60.05306630081071
73.46969696969697                                 62.224793975990615
73.48484848484848                                 64.56411465277736
73.5                                              67.09109514249901
73.51515151515152                                 69.82912985195951
73.53030303030303                                 72.80565792208985
73.54545454545455                                 76.05307317817389
73.56060606060606                                 79.60988970252134
73.57575757575758                                 83.52225006069402
73.5909090909091                                  87.84589826114073
73.60606060606061                                 92.64879086985363
73.62121212121212                                 98.02320831173144
73.63636363636364                                 104.06839971038418
73.65151515151516                                 110.91895503264247
73.66666666666667                                 118.7473739743778
73.68181818181819                                 127.77845960498992
73.6969696969697                                  138.3117533422593
73.71212121212122                                 150.75519403050924
73.72727272727273                                 165.67896733403614
73.74242424242425                                 183.90494826871324
73.75757575757575                                 206.66249316248306
73.77272727272727                                 235.87585898994266
73.78787878787878                                 274.73338328780454
73.8030303030303                                  329.36047282371703
73.81818181818181                                 410.7085498406915
73.83333333333333                                 545.4982677185725
73.84848484848484                                 812.1334908218992
73.86363636363636                                 1583.89263860512
73.87878787878788                                 10629.423766816219
73.89393939393939                                 1693.2718654085995
73.9090909090909                                  839.3323344069681
73.92424242424242                                 557.013760236426
73.93939393939394                                 416.8334290422195
73.95454545454545                                 332.7811110553717
73.96969696969697                                 276.99094963007883
73.98484848484848                                 237.5710001276636
74                                                207.28802867156506
74.01515151515152                                 184.1788587801542
74.03030303030303                                 165.70600762681997
74.04545454545455                                 150.59535790249646
74.06060606060606                                 138.00982940716892
74.07575757575758                                 127.36674693332755
74.0909090909091                                  118.24965258275253
74.10606060606061                                 110.35312053094322
74.12121212121212                                 103.44809521840783
74.13636363636364                                 97.35944307842875
74.15151515151516                                 91.95097628395416
74.16666666666667                                 87.57975265339458
74.18181818181819                                 82.85419822539153
74.1969696969697                                  78.80862401742631
74.21212121212122                                 75.25937522832487
74.22727272727273                                 72.01210598267991
74.24242424242425                                 69.02763682912386
74.25757575757575                                 66.28395029638493
74.27272727272727                                 63.75398577735297
74.28787878787878                                 61.41350864040666
74.3030303030303                                  59.242196784292275
74.31818181818181                                 57.22261231381807
74.33333333333333                                 55.33961675653859
74.34848484848484                                 53.58001608133795
74.36363636363636                                 51.93226378605745
74.37878787878788                                 50.38621161365185
74.39393939393939                                 48.93290418040669
74.4090909090909                                  47.564408923130955
74.42424242424242                                 46.27367429100186
74.43939393939394                                 45.054410854277805
74.45454545454545                                 43.90099113661211
74.46969696969697                                 42.80836482491971
74.48484848484848                                 41.77198667483465
74.5                                              40.78775495074241
