Frequency(MHz),VSWR
25.147979688623,31.5103919267899
26.3313122442407,33.5509565678947
27.7129194290145,30.6407670973796
28.6140419157608,28.8571598932269
29.0362289170631,25.8415371479054
30.0187104547102,22.7439506066634
30.5410648969388,20.1891299048196
32.522870263215,18.2853551514229
34.2941457438993,17.0189036631927
35.1357344395253,15.666873354035
35.9772575985166,14.469149269587
37.4491667247581,13.0698886540453
37.8705235953531,12.1953852461279
38.922211819336,11.1599516475486
40.1842143862009,10.0443944990595
40.1864462727078,8.99307971725228
40.7648585677793,5.91194127534142
41.238189110553,8.20729995181081
41.2398493719676,7.55931683909112
41.2429951304374,6.46854789402374
41.4514016290623,6.99271047518146
42.0873035964072,5.20410709005556
42.4078011998398,4.6434329128278
42.4136676240437,3.9985546192356
43.5665637485174,3.26610427234174
43.7745966883239,3.59670890525307
44.0018786605442,4.28152037886641
44.3127779575501,3.97496044652121
44.8182807046447,4.892932974485
45.0858404225314,6.23175091929235
45.10496415986,7.02025108706832
45.1935132317605,5.60157086308145
46.0681298666807,8.04064641276778
46.4839670962569,9.86189735218826
46.4859259134522,8.94993313252346
49.7717580173472,10.8280009871241
51.5231808909582,10.0057056548025
52.7853072492444,8.95047337996048
54.6769239074387,8.1861802718433
55.518132490583,7.67908621516619
56.565788026972,8.58090087146312
57.4045914156195,9.0678614371947
58.2429178432028,9.81155601999144
60.613133981555,9.59601625479013
61.8149884813814,8.70290708427121
63.2865371561316,8.00290664150577
64.7582387496963,7.30367367694312
66.0196005139099,6.78560555426095
67.0720096408755,5.99164913205419
68.3344636823356,5.27345322835993
68.3602427791909,5.67919667671361
69.1757574631051,4.92595514515053
69.3874407934693,4.52724115096895
69.7575917067501,3.96304302637135
71.0723439827708,3.52214690069153
71.9098147931777,3.97601171733164
72.333530982625,3.30076403785818
73.8047738197461,3.08160854440088
74.4328441592339,3.38035699507142
74.6464935886418,2.8184374408243
75.0680579919136,2.60295893205833
75.363778949066,2.38684327472652
76.7516613712918,2.15975454787349
77.2790019031109,1.91842494604824
78.7414554500407,1.79037915718223
80.5367952500892,1.64432463179477
82.6357370524344,1.71524100244263
84.7330185933649,1.9425870730886
85.150639875777,2.18106738987475
86.1146182368691,2.39952070240978
87.2461082364784,2.70229015920856
88.2944650148596,2.91654894001286
88.9229285741562,3.13758064933328
89.9710559743156,3.42504969096883
91.0198387408229,3.61942632463353
91.4381481579002,3.92757295088714
93.4014656481673,4.25497574594077
94.7948144412283,4.55784113777378
97.0338517232046,4.72876248919695
98.7115677282244,5.25220452380796
100.249370299821,5.81257549527913
102.768474749638,6.00235324297745
105.287753963815,6.14489873344484
107.807612084932,6.1129900941316
110.327739634437,6.00062312247835
112.847666933113,5.94904252129014
115.367652486576,5.88091009856097
117.977793563698,5.7664218919567
119.989237717017,5.31618214009771
122.509951455311,5.0691090761118
125.030992876779,4.75569356975913
127.552121680426,4.44238514626698
130.072573272181,4.29128776615089
132.593672948435,4.01436271998118
134.4519548683,3.76171859737443
135.74621081902,3.48639746926449
137.637576253448,3.22861943907448
140.15863952046,3.0257226319765
142.25995156443,2.80656369445097
143.941228393274,2.61314699952323
145.412908141293,2.38741227227456
147.094569451727,2.18094583417894
149.40608733904,2.00041229511372
151.926958365257,1.89263781018029
154.446878382085,1.87704589153642
156.966081136854,1.9289144532995
158.947629982733,2.05025148524067
160.113317093685,2.17838727776026
162.211459349086,2.36414222174611
163.889345749356,2.60376603488104
165.567695275179,2.80263758199353
167.875851861311,3.03636774754183
170.394293662932,3.24013484707473
172.702511416591,3.49973044737319
174.52101904594,3.73510711607869
176.689546190733,3.97570106549745
179.208752586427,4.08482513966284
181.728359483777,4.11450024720204
184.246859540185,4.37796770288588
186.766262545783,4.4545369638259
189.285600014746,4.54718362437329
191.80485010153,4.6618929787298
194.324515253667,4.68222917996384
196.844311479074,4.6722192247469
199.36436985102,4.60207943988722
201.88445006851,4.52808988859318
204.404573977091,4.44565776773865
206.923955137144,4.52830855160703
209.443445524922,4.58760632728144
211.963591279047,4.49921928055133
214.274522249386,4.24852654576611
216.585678957022,3.96719136972096
219.106319876833,3.79648338111675
221.207413465353,3.55981146288948
223.099056338201,3.25160910953038
225.410725687958,2.96015536028426
227.932072947055,2.73537671209777
230.033592523702,2.51129779143145
231.715197035719,2.30058135424264
233.396998157641,2.08711914611543
234.658440022186,1.93139572845207
236.759191363836,1.84195761140342
238.860394180081,1.71781058011644
241.381238991645,1.6273734809792
243.901821656669,1.56184827360866
246.42168341871,1.55345785449265
249.031296041697,1.56361619009366
251.251051821561,1.56568128624541
252.932660702687,1.43399866661572
254.404340450707,1.31012377632347
256.505237429323,1.24047368815822
259.024924427005,1.24453740543568
261.543278846447,1.33381793062555
264.0611526639,1.46394411907635
266.579288627892,1.5860351262108
268.677531372799,1.71273212818102
269.72664182248,1.78079017636659
270.775249824628,1.89821490519517
273.504135221939,1.97955738257546
275.811849435787,2.19216089417583
278.330138318593,2.35706161188186
280.848667502394,2.50437735468223
283.368507418891,2.49362057122757
285.469524548004,2.34704146761404
286.940800153443,2.18765481984312
287.993340353678,1.91918454451896
289.464211816535,1.82502671669647
290.662482086597,1.97674809102751
290.720254190558,2.20675586962949
290.998828579496,2.36501318818759
291.766481028309,2.64675475409467
293.024489501376,2.90336355956857
295.122612095786,3.15400881180707
297.430917231624,3.39198975064446
299.319742029177,3.56247691596059
